stack,mean_ms,p95_ms,n
MIT (convexMPC + leg ctrl),4.202361132143469,7.834579996415412,265
ETH (SLQ-MPC + QP-WBC),24.328258914409147,25.329485008114716,258
X1 (convexMPC + QP-WBC),4.376515175081366,9.068760002264753,257
X2 (SLQ-MPC + leg ctrl),24.666973946839516,25.93720000004396,261
