stack,mean_ms,p95_ms,n
MIT (convexMPC + leg ctrl),3.751667058745892,5.430250000790692,255
ETH (SLQ-MPC + QP-WBC),23.283029084065575,24.121350004861597,251
X1 (convexMPC + QP-WBC),4.204790234268785,9.891925004922086,256
X2 (SLQ-MPC + leg ctrl),23.696423921957795,24.861330007843208,255
